url,classification,status,final_url,title,language,canonical,in_sitemap,sitemap
https://5sigmas.com/en/series/from-cave-to-agi/00_presentacion_serie/,INDEX,200,https://5sigmas.com/en/series/from-cave-to-agi/00_presentacion_serie/,Introduction | 5sigmas,en,https://5sigmas.com/en/series/from-cave-to-agi/00_presentacion_serie/,True,en/sitemap.xml
https://5sigmas.com/en/series/from-cave-to-agi/01-representar/,INDEX,200,https://5sigmas.com/en/series/from-cave-to-agi/01-representar/,Represent — From the Caves to AGI | 5sigmas,en,https://5sigmas.com/en/series/from-cave-to-agi/01-representar/,True,en/sitemap.xml
https://5sigmas.com/en/series/from-cave-to-agi/02-mecanizar/,INDEX,200,https://5sigmas.com/en/series/from-cave-to-agi/02-mecanizar/,Mechanize — From the Caves to AGI | 5sigmas,en,https://5sigmas.com/en/series/from-cave-to-agi/02-mecanizar/,True,en/sitemap.xml
https://5sigmas.com/en/series/from-cave-to-agi/03-aprender/,INDEX,200,https://5sigmas.com/en/series/from-cave-to-agi/03-aprender/,Learn — From the Caves to AGI | 5sigmas,en,https://5sigmas.com/en/series/from-cave-to-agi/03-aprender/,True,en/sitemap.xml
https://5sigmas.com/en/series/from-cave-to-agi/04-escalar/,INDEX,200,https://5sigmas.com/en/series/from-cave-to-agi/04-escalar/,Scale — From the Caves to AGI | 5sigmas,en,https://5sigmas.com/en/series/from-cave-to-agi/04-escalar/,True,en/sitemap.xml
https://5sigmas.com/en/series/from-cave-to-agi/05-mas-alla/,INDEX,200,https://5sigmas.com/en/series/from-cave-to-agi/05-mas-alla/,Beyond the Transformer — From the Caves to AGI | 5sigmas,en,https://5sigmas.com/en/series/from-cave-to-agi/05-mas-alla/,True,en/sitemap.xml
https://5sigmas.com/en/series/fundamentos-ia-iag/00_presentacion_serie/,INDEX,200,https://5sigmas.com/en/series/fundamentos-ia-iag/00_presentacion_serie/,Introduction | 5sigmas,en,https://5sigmas.com/en/series/fundamentos-ia-iag/00_presentacion_serie/,True,en/sitemap.xml
https://5sigmas.com/en/series/fundamentos-ia-iag/01-que-es-ia/,INDEX,200,https://5sigmas.com/en/series/fundamentos-ia-iag/01-que-es-ia/,What is AI? — AI and Generative AI Foundations | 5sigmas,en,https://5sigmas.com/en/series/fundamentos-ia-iag/01-que-es-ia/,True,en/sitemap.xml
https://5sigmas.com/en/series/fundamentos-ia-iag/02-que-es-ia-generativa/,INDEX,200,https://5sigmas.com/en/series/fundamentos-ia-iag/02-que-es-ia-generativa/,What is Generative AI? — AI and Generative AI Foundations | 5sigmas,en,https://5sigmas.com/en/series/fundamentos-ia-iag/02-que-es-ia-generativa/,True,en/sitemap.xml
https://5sigmas.com/en/series/fundamentos-ia-iag/03-ia-vs-ia-generativa/,INDEX,200,https://5sigmas.com/en/series/fundamentos-ia-iag/03-ia-vs-ia-generativa/,Classical AI vs Generative AI — AI and Generative AI Foundations | 5sigmas,en,https://5sigmas.com/en/series/fundamentos-ia-iag/03-ia-vs-ia-generativa/,True,en/sitemap.xml
