url,classification,canonical_declared,canonical_count,self_referencing,canonical_status,canonical_classification
https://5sigmas.com/en/series/ia-pib-bienestar-energia/03-pib-vs-bienestar/,INDEX,https://5sigmas.com/en/series/ia-pib-bienestar-energia/03-pib-vs-bienestar/,1,True,200,INDEX
https://5sigmas.com/en/series/ia-pib-bienestar-energia/04-ia-pib-hoy/,INDEX,https://5sigmas.com/en/series/ia-pib-bienestar-energia/04-ia-pib-hoy/,1,True,200,INDEX
https://5sigmas.com/en/series/modelos-razonadores/00_presentacion_serie/,INDEX,https://5sigmas.com/en/series/modelos-razonadores/00_presentacion_serie/,1,True,200,INDEX
https://5sigmas.com/en/series/modelos-razonadores/01-que-es-razonar/,INDEX,https://5sigmas.com/en/series/modelos-razonadores/01-que-es-razonar/,1,True,200,INDEX
https://5sigmas.com/en/series/modelos-razonadores/02-fallos/,INDEX,https://5sigmas.com/en/series/modelos-razonadores/02-fallos/,1,True,200,INDEX
https://5sigmas.com/en/series/modelos-razonadores/03-test-time-compute/,INDEX,https://5sigmas.com/en/series/modelos-razonadores/03-test-time-compute/,1,True,200,INDEX
https://5sigmas.com/en/series/modelos-razonadores/04-latencia-streaming/,INDEX,https://5sigmas.com/en/series/modelos-razonadores/04-latencia-streaming/,1,True,200,INDEX
https://5sigmas.com/en/series/modelos-razonadores/05-riesgos/,INDEX,https://5sigmas.com/en/series/modelos-razonadores/05-riesgos/,1,True,200,INDEX
https://5sigmas.com/en/series/multimodalidad-iag/00_presentacion_serie/,INDEX,https://5sigmas.com/en/series/multimodalidad-iag/00_presentacion_serie/,1,True,200,INDEX
https://5sigmas.com/en/series/multimodalidad-iag/01-el-problema/,INDEX,https://5sigmas.com/en/series/multimodalidad-iag/01-el-problema/,1,True,200,INDEX
https://5sigmas.com/en/series/multimodalidad-iag/02-alineamiento/,INDEX,https://5sigmas.com/en/series/multimodalidad-iag/02-alineamiento/,1,True,200,INDEX
https://5sigmas.com/en/series/multimodalidad-iag/03-arquitecturas/,INDEX,https://5sigmas.com/en/series/multimodalidad-iag/03-arquitecturas/,1,True,200,INDEX
https://5sigmas.com/en/series/multimodalidad-iag/04-evaluacion/,INDEX,https://5sigmas.com/en/series/multimodalidad-iag/04-evaluacion/,1,True,200,INDEX
https://5sigmas.com/en/series/multimodalidad-iag/05-riesgos/,INDEX,https://5sigmas.com/en/series/multimodalidad-iag/05-riesgos/,1,True,200,INDEX
https://5sigmas.com/en/series/seguridad-ia/00_presentacion_serie/,INDEX,https://5sigmas.com/en/series/seguridad-ia/00_presentacion_serie/,1,True,200,INDEX
https://5sigmas.com/en/series/seguridad-ia/01-prompt-injection/,INDEX,https://5sigmas.com/en/series/seguridad-ia/01-prompt-injection/,1,True,200,INDEX
https://5sigmas.com/en/series/seguridad-ia/02-jailbreaks/,INDEX,https://5sigmas.com/en/series/seguridad-ia/02-jailbreaks/,1,True,200,INDEX
https://5sigmas.com/en/series/seguridad-ia/03-envenenamiento/,INDEX,https://5sigmas.com/en/series/seguridad-ia/03-envenenamiento/,1,True,200,INDEX
https://5sigmas.com/en/series/seguridad-ia/04-red-teaming/,INDEX,https://5sigmas.com/en/series/seguridad-ia/04-red-teaming/,1,True,200,INDEX
https://5sigmas.com/en/series/seguridad-ia/05-controles-produccion/,INDEX,https://5sigmas.com/en/series/seguridad-ia/05-controles-produccion/,1,True,200,INDEX
https://5sigmas.com/en/temas/,INDEX,https://5sigmas.com/en/temas/,1,True,200,INDEX
https://5sigmas.com/en/temas/agentes-ia/,INDEX,https://5sigmas.com/en/temas/agentes-ia/,1,True,200,INDEX
https://5sigmas.com/en/temas/evaluacion-modelos/,INDEX,https://5sigmas.com/en/temas/evaluacion-modelos/,1,True,200,INDEX
https://5sigmas.com/en/temas/llms/,INDEX,https://5sigmas.com/en/temas/llms/,1,True,200,INDEX
https://5sigmas.com/en/temas/prompt-injection/,INDEX,https://5sigmas.com/en/temas/prompt-injection/,1,True,200,INDEX
https://5sigmas.com/en/temas/razonamiento/,INDEX,https://5sigmas.com/en/temas/razonamiento/,1,True,200,INDEX
https://5sigmas.com/en/temas/transformer/,INDEX,https://5sigmas.com/en/temas/transformer/,1,True,200,INDEX
https://5sigmas.com/en/videos/,INDEX,https://5sigmas.com/en/videos/,1,True,200,INDEX
https://5sigmas.com/en/videos/articulos-tecnicos/reactive-proactive-agent-header-demo/,INDEX,https://5sigmas.com/en/videos/articulos-tecnicos/reactive-proactive-agent-header-demo/,1,True,200,INDEX
https://5sigmas.com/en/videos/series/agentes-ia/00_presentacion_serie/,INDEX,https://5sigmas.com/en/videos/series/agentes-ia/00_presentacion_serie/,1,True,200,INDEX
https://5sigmas.com/en/videos/series/agentes-ia/01-que-es-un-agente/,INDEX,https://5sigmas.com/en/videos/series/agentes-ia/01-que-es-un-agente/,1,True,200,INDEX
https://5sigmas.com/en/videos/series/agentes-ia/02-anatomia-de-un-agente/,INDEX,https://5sigmas.com/en/videos/series/agentes-ia/02-anatomia-de-un-agente/,1,True,200,INDEX
https://5sigmas.com/en/videos/series/agentes-ia/03-como-evaluar-un-agente/,INDEX,https://5sigmas.com/en/videos/series/agentes-ia/03-como-evaluar-un-agente/,1,True,200,INDEX
https://5sigmas.com/en/videos/series/agentes-ia/04-seguridad-agentes/,INDEX,https://5sigmas.com/en/videos/series/agentes-ia/04-seguridad-agentes/,1,True,200,INDEX
https://5sigmas.com/en/videos/series/agentes-ia/05-de-la-demo-a-produccion/,INDEX,https://5sigmas.com/en/videos/series/agentes-ia/05-de-la-demo-a-produccion/,1,True,200,INDEX
