url,language,expected_language,hreflang,hreflang_count
https://5sigmas.com/en/videos/series/from-cave-to-agi/00_presentacion_serie/,en,en,[],0
https://5sigmas.com/en/videos/series/from-cave-to-agi/01-representar/,en,en,[],0
https://5sigmas.com/en/videos/series/from-cave-to-agi/02-mecanizar/,en,en,[],0
https://5sigmas.com/en/videos/series/from-cave-to-agi/03-aprender/,en,en,[],0
https://5sigmas.com/en/videos/series/from-cave-to-agi/04-escalar/,en,en,[],0
https://5sigmas.com/en/videos/series/from-cave-to-agi/05-mas-alla/,en,en,[],0
https://5sigmas.com/en/videos/series/fundamentos-ia-iag/00_presentacion_serie/,en,en,[],0
https://5sigmas.com/en/videos/series/fundamentos-ia-iag/01-que-es-ia/,en,en,[],0
https://5sigmas.com/en/videos/series/fundamentos-ia-iag/02-que-es-ia-generativa/,en,en,[],0
https://5sigmas.com/en/videos/series/fundamentos-ia-iag/03-ia-vs-ia-generativa/,en,en,[],0
https://5sigmas.com/en/videos/series/fundamentos-ia-iag/04-agi/,en,en,[],0
https://5sigmas.com/en/videos/series/ia-pib-bienestar-energia/00_presentacion_serie/,en,en,[],0
https://5sigmas.com/en/videos/series/ia-pib-bienestar-energia/01-electricidad-bienestar/,en,en,[],0
https://5sigmas.com/en/videos/series/ia-pib-bienestar-energia/02-ia-tecnologia-electrica/,en,en,[],0
https://5sigmas.com/en/videos/series/ia-pib-bienestar-energia/03-pib-vs-bienestar/,en,en,[],0
https://5sigmas.com/en/videos/series/ia-pib-bienestar-energia/04-ia-pib-hoy/,en,en,[],0
https://5sigmas.com/en/videos/series/modelos-razonadores/00_presentacion_serie/,en,en,[],0
https://5sigmas.com/en/videos/series/modelos-razonadores/01-que-es-razonar/,en,en,[],0
https://5sigmas.com/en/videos/series/modelos-razonadores/02-fallos/,en,en,[],0
https://5sigmas.com/en/videos/series/modelos-razonadores/03-test-time-compute/,en,en,[],0
https://5sigmas.com/en/videos/series/modelos-razonadores/04-latencia-streaming/,en,en,[],0
https://5sigmas.com/en/videos/series/modelos-razonadores/05-riesgos/,en,en,[],0
https://5sigmas.com/en/videos/series/multimodalidad-iag/00_presentacion_serie/,en,en,[],0
https://5sigmas.com/en/videos/series/multimodalidad-iag/01-el-problema/,en,en,[],0
https://5sigmas.com/en/videos/series/multimodalidad-iag/02-alineamiento/,en,en,[],0
https://5sigmas.com/en/videos/series/multimodalidad-iag/03-arquitecturas/,en,en,[],0
https://5sigmas.com/en/videos/series/multimodalidad-iag/04-evaluacion/,en,en,[],0
https://5sigmas.com/en/videos/series/multimodalidad-iag/05-riesgos/,en,en,[],0
https://5sigmas.com/en/videos/series/seguridad-ia/00_presentacion_serie/,en,en,[],0
https://5sigmas.com/en/videos/series/seguridad-ia/01-prompt-injection/,en,en,[],0
https://5sigmas.com/en/videos/series/seguridad-ia/02-jailbreaks/,en,en,[],0
https://5sigmas.com/en/videos/series/seguridad-ia/03-envenenamiento/,en,en,[],0
https://5sigmas.com/en/videos/series/seguridad-ia/04-red-teaming/,en,en,[],0
https://5sigmas.com/en/videos/series/seguridad-ia/05-controles-produccion/,en,en,[],0
https://5sigmas.com/en/visuales/,en,en,[],0
https://5sigmas.com/meta/about/,es,es,[],0
