url,sitemaps,status,classification,canonical,canonical_ok,valid
https://5sigmas.com/en/series/ia-pib-bienestar-energia/02-ia-tecnologia-electrica/,en/sitemap.xml,200,INDEX,https://5sigmas.com/en/series/ia-pib-bienestar-energia/02-ia-tecnologia-electrica/,True,True
https://5sigmas.com/en/series/ia-pib-bienestar-energia/03-pib-vs-bienestar/,en/sitemap.xml,200,INDEX,https://5sigmas.com/en/series/ia-pib-bienestar-energia/03-pib-vs-bienestar/,True,True
https://5sigmas.com/en/series/ia-pib-bienestar-energia/04-ia-pib-hoy/,en/sitemap.xml,200,INDEX,https://5sigmas.com/en/series/ia-pib-bienestar-energia/04-ia-pib-hoy/,True,True
https://5sigmas.com/en/series/modelos-razonadores/00_presentacion_serie/,en/sitemap.xml,200,INDEX,https://5sigmas.com/en/series/modelos-razonadores/00_presentacion_serie/,True,True
https://5sigmas.com/en/series/modelos-razonadores/01-que-es-razonar/,en/sitemap.xml,200,INDEX,https://5sigmas.com/en/series/modelos-razonadores/01-que-es-razonar/,True,True
https://5sigmas.com/en/series/modelos-razonadores/02-fallos/,en/sitemap.xml,200,INDEX,https://5sigmas.com/en/series/modelos-razonadores/02-fallos/,True,True
https://5sigmas.com/en/series/modelos-razonadores/03-test-time-compute/,en/sitemap.xml,200,INDEX,https://5sigmas.com/en/series/modelos-razonadores/03-test-time-compute/,True,True
https://5sigmas.com/en/series/modelos-razonadores/04-latencia-streaming/,en/sitemap.xml,200,INDEX,https://5sigmas.com/en/series/modelos-razonadores/04-latencia-streaming/,True,True
https://5sigmas.com/en/series/modelos-razonadores/05-riesgos/,en/sitemap.xml,200,INDEX,https://5sigmas.com/en/series/modelos-razonadores/05-riesgos/,True,True
https://5sigmas.com/en/series/multimodalidad-iag/00_presentacion_serie/,en/sitemap.xml,200,INDEX,https://5sigmas.com/en/series/multimodalidad-iag/00_presentacion_serie/,True,True
https://5sigmas.com/en/series/multimodalidad-iag/01-el-problema/,en/sitemap.xml,200,INDEX,https://5sigmas.com/en/series/multimodalidad-iag/01-el-problema/,True,True
https://5sigmas.com/en/series/multimodalidad-iag/02-alineamiento/,en/sitemap.xml,200,INDEX,https://5sigmas.com/en/series/multimodalidad-iag/02-alineamiento/,True,True
https://5sigmas.com/en/series/multimodalidad-iag/03-arquitecturas/,en/sitemap.xml,200,INDEX,https://5sigmas.com/en/series/multimodalidad-iag/03-arquitecturas/,True,True
https://5sigmas.com/en/series/multimodalidad-iag/04-evaluacion/,en/sitemap.xml,200,INDEX,https://5sigmas.com/en/series/multimodalidad-iag/04-evaluacion/,True,True
https://5sigmas.com/en/series/multimodalidad-iag/05-riesgos/,en/sitemap.xml,200,INDEX,https://5sigmas.com/en/series/multimodalidad-iag/05-riesgos/,True,True
https://5sigmas.com/en/series/seguridad-ia/00_presentacion_serie/,en/sitemap.xml,200,INDEX,https://5sigmas.com/en/series/seguridad-ia/00_presentacion_serie/,True,True
https://5sigmas.com/en/series/seguridad-ia/01-prompt-injection/,en/sitemap.xml,200,INDEX,https://5sigmas.com/en/series/seguridad-ia/01-prompt-injection/,True,True
https://5sigmas.com/en/series/seguridad-ia/02-jailbreaks/,en/sitemap.xml,200,INDEX,https://5sigmas.com/en/series/seguridad-ia/02-jailbreaks/,True,True
https://5sigmas.com/en/series/seguridad-ia/03-envenenamiento/,en/sitemap.xml,200,INDEX,https://5sigmas.com/en/series/seguridad-ia/03-envenenamiento/,True,True
https://5sigmas.com/en/series/seguridad-ia/04-red-teaming/,en/sitemap.xml,200,INDEX,https://5sigmas.com/en/series/seguridad-ia/04-red-teaming/,True,True
https://5sigmas.com/en/series/seguridad-ia/05-controles-produccion/,en/sitemap.xml,200,INDEX,https://5sigmas.com/en/series/seguridad-ia/05-controles-produccion/,True,True
https://5sigmas.com/en/temas/,en/sitemap.xml,200,INDEX,https://5sigmas.com/en/temas/,True,True
https://5sigmas.com/en/temas/agentes-ia/,en/sitemap.xml,200,INDEX,https://5sigmas.com/en/temas/agentes-ia/,True,True
https://5sigmas.com/en/temas/evaluacion-modelos/,en/sitemap.xml,200,INDEX,https://5sigmas.com/en/temas/evaluacion-modelos/,True,True
https://5sigmas.com/en/temas/llms/,en/sitemap.xml,200,INDEX,https://5sigmas.com/en/temas/llms/,True,True
https://5sigmas.com/en/temas/prompt-injection/,en/sitemap.xml,200,INDEX,https://5sigmas.com/en/temas/prompt-injection/,True,True
https://5sigmas.com/en/temas/razonamiento/,en/sitemap.xml,200,INDEX,https://5sigmas.com/en/temas/razonamiento/,True,True
https://5sigmas.com/en/temas/transformer/,en/sitemap.xml,200,INDEX,https://5sigmas.com/en/temas/transformer/,True,True
https://5sigmas.com/en/videos/,en/sitemap.xml,200,INDEX,https://5sigmas.com/en/videos/,True,True
https://5sigmas.com/en/videos/articulos-tecnicos/reactive-proactive-agent-header-demo/,en/sitemap.xml,200,INDEX,https://5sigmas.com/en/videos/articulos-tecnicos/reactive-proactive-agent-header-demo/,True,True
https://5sigmas.com/en/videos/series/agentes-ia/00_presentacion_serie/,en/sitemap.xml,200,INDEX,https://5sigmas.com/en/videos/series/agentes-ia/00_presentacion_serie/,True,True
https://5sigmas.com/en/videos/series/agentes-ia/01-que-es-un-agente/,en/sitemap.xml,200,INDEX,https://5sigmas.com/en/videos/series/agentes-ia/01-que-es-un-agente/,True,True
https://5sigmas.com/en/videos/series/agentes-ia/02-anatomia-de-un-agente/,en/sitemap.xml,200,INDEX,https://5sigmas.com/en/videos/series/agentes-ia/02-anatomia-de-un-agente/,True,True
https://5sigmas.com/en/videos/series/agentes-ia/03-como-evaluar-un-agente/,en/sitemap.xml,200,INDEX,https://5sigmas.com/en/videos/series/agentes-ia/03-como-evaluar-un-agente/,True,True
https://5sigmas.com/en/videos/series/agentes-ia/04-seguridad-agentes/,en/sitemap.xml,200,INDEX,https://5sigmas.com/en/videos/series/agentes-ia/04-seguridad-agentes/,True,True
https://5sigmas.com/en/videos/series/agentes-ia/05-de-la-demo-a-produccion/,en/sitemap.xml,200,INDEX,https://5sigmas.com/en/videos/series/agentes-ia/05-de-la-demo-a-produccion/,True,True
https://5sigmas.com/en/videos/series/datacenters-espacio/00_presentacion_serie/,en/sitemap.xml,200,INDEX,https://5sigmas.com/en/videos/series/datacenters-espacio/00_presentacion_serie/,True,True
